ID,Nombre,Peso Original,Fecha Creacion,Suma Peso Renditions
1227160782001,"Chino y Nacho presentan su nuevo disco",6237073,2011-10-19,12444601.0
1228074597001,"Chávez otorga orden Libertador a Gadafi",9890460,2011-10-20,23364269.0
1228677014001,"Primeras imágenes del cuerpo de Gadafi",828514,2011-10-20,2848163.0
1229124350001,"Cristina Fernández cierra su campaña electoral",3603960,2011-10-20,7060840.0
1229192970001,"Captura de Gadafi vivo",1331239,2011-10-20,12580050.0
1229192978001,"Giordani presentó presupuesto de la nación para el 2012",11189568,2011-10-20,37263497.0
1229193005001,"Chávez explica su tratamiento contra el cáncer",18804934,2011-10-20,179545546.0
1229198151001,"Chávez asegura haberle ganado al cáncer ",13308857,2011-10-20,123498934.0
1229459613001,"ETA anuncia el final de la violencia",2290303,2011-10-20,6704616.0
1229498715001,"Gremios exigen mejoras laborales",7784383,2011-10-20,73412035.0
1229546026001,"Daniela Larreal conquista su tercera medalla de oro",8072303,2011-10-20,76551908.0
1230847613001,"Pigmentos para el otoño de Durant & Diego",4793448,2011-10-21,17054452.0
1231096869001,"Subirats conquista el oro en 100m mariposa",8721446,2011-10-21,83502305.0
1231634577001,"Fin de la guerra en Irak",6941131,2011-10-22,13955868.0
1232626383001,"Venezuela fábrica de reinas",5053342,2011-10-22,10244087.0
1232686621001,"Cristina es favorita en Argentina",5218659,2011-10-22,10388009.0
1232686630001,"Médicos de Chávez rechazan declaraciones de Navarrete",3604082,2011-10-22,7646802.0
1232686668001,"Libios hacen cola para ver el cadáver de Gadafi",4369285,2011-10-22,8725890.0
1233019372001,"Accidente mortal de Marco Simoncelli en GP de Malasia",1176992,2011-10-23,17259536.0
1233934733001,"Libia se proclamó libre",3524576,2011-10-23,7070035.0
1234749616001,"Cristina Fernández, reelegida con un apoyo histórico",4756474,2011-10-24,9427483.0
1234749617001,"El Circo del sol sorprende en las calles de Ciudad de México",4536767,2011-10-24,9044271.0
1235847985001,"Pueblo libio se prepara para la recnstrucción de su país",2820908,2011-10-24,5731917.0
1236027755001,"Wikileaks apunto de cerrar",5385945,2011-10-24,10893634.0
1238443895001,"Colombia y Venezuela acuerdan crear compañías mixtas para construir oleoducto",5264966,2011-10-25,10624540.0
